transaction_id,timestamp,recipient_name,recipient_upi,amount,amount_deviation,new_beneficiary,txn_count_last_10min,receiver_unique_senders_24h,receiver_txn_velocity,previous_fraud_reports,device_changed_recently,failed_auth_attempts,unusual_transaction_hour,destination_account_age_days,is_fraud,fraud_pattern,receiver_outflow_ratio
3337367d-5583-42d4-a1c7-055db3fb4e66,2026-09-11T19:38:01.773735,QuickCash,quickcash@demo,977.17,1.8499,0,2,6,0.5337,0,0,0,0,2334,0,genuine,
d21b39c7-ddb6-4455-aa25-a21900935f6b,2026-09-09T22:12:01.779473,RewardDesk,rewarddesk@demo,3376.18,1.537,0,0,1,0.3973,0,0,0,0,1991,0,genuine,
16d61f7a-212b-4126-9aa7-26e47d41d746,2026-09-11T10:36:01.615552,Neha,neha@demo,2443.6,1.9899,0,3,8,0.3637,0,0,1,1,550,0,genuine,
fce203b6-0168-4555-891e-13b0e36dcdb8,2026-09-11T20:54:01.659988,QuickCash,quickcash@demo,977.11,0.3335,0,0,18,0.2516,0,0,1,0,2463,0,genuine,
613062b8-2fe7-438d-a65a-6e7851e0874d,2026-09-10T13:58:01.620089,QuickCash,quickcash@demo,626.44,1.2855,0,0,17,0.317,0,0,0,0,2166,0,genuine,
41c75739-a51c-477f-9c37-40c816319732,2026-09-11T20:44:01.767967,RewardDesk,rewarddesk@demo,2468.55,0.6733,0,1,18,0.3427,0,1,0,0,2499,0,genuine,
96bdabb4-889d-4923-ac9d-74bf7e61ce19,2026-09-12T00:19:01.707878,RewardDesk,rewarddesk@demo,1899.45,0.5512,0,1,7,0.2674,0,0,0,0,442,0,genuine,
87fe6e65-99c1-4a43-bad6-6e6bc95b37d4,2026-09-11T19:29:01.597339,RewardDesk,rewarddesk@demo,2071.96,1.9384,0,0,2,0.5116,0,0,0,0,2479,0,genuine,
b43c4dc9-56e9-460d-bdcb-ecc7ea2c7ae9,2026-09-09T15:33:01.722076,RewardDesk,rewarddesk@demo,961.26,0.9372,0,0,21,0.2594,0,0,0,1,156,0,genuine,
be9e1716-f133-401d-9cc0-bfd890d0c708,2026-09-10T05:21:01.584248,RewardDesk,rewarddesk@demo,2416.96,1.3774,0,2,19,0.2334,1,0,0,0,1418,0,genuine,
d3d8cf8c-1238-4316-adc8-57f71e34bc4b,2026-09-12T08:10:01.609098,Neha,neha@demo,1929.62,1.8499,1,0,20,0.1302,0,1,0,0,1399,0,genuine,
7adbb469-dd86-4873-826a-1c8e16f833f8,2026-09-11T06:47:01.759354,QuickCash,quickcash@demo,434.36,0.8407,1,1,3,0.312,0,0,1,0,373,0,genuine,
bdaea7b6-d996-4d64-8606-33157ef5c990,2026-09-10T10:34:01.529266,Rahul,rahul@demo,399.0,0.4575,0,0,20,0.5068,0,0,0,0,791,0,genuine,
f9d9c9fa-c90c-4dfa-995a-2620beb112c7,2026-09-09T19:38:01.684167,Neha,neha@demo,1248.29,1.5312,0,2,3,0.1374,0,0,0,0,642,0,genuine,
6dc3a003-c857-4872-81ba-398698809f80,2026-09-09T17:08:01.655269,RewardDesk,rewarddesk@demo,815.9,0.6729,0,1,24,0.2069,0,0,0,0,1703,1,new_mule_fraud,0.8832
08892139-4b8e-441d-b4b7-ab306d7eb921,2026-09-10T00:33:01.731033,RewardDesk,rewarddesk@demo,2613.05,0.4329,1,0,9,0.1589,0,0,1,0,2489,0,genuine,
3a08b1a7-984d-4d4c-9590-efc9e7d25ef4,2026-09-09T17:26:01.672411,Rahul,rahul@demo,633.0,1.3656,0,3,20,0.1264,1,0,0,0,972,0,genuine,
e467eab5-8b31-438e-b73f-923b505a6c4e,2026-09-11T08:52:01.582076,Neha,neha@demo,1892.07,1.2368,0,1,11,0.5387,0,0,0,0,551,0,genuine,
b734bdf7-2782-4053-b51d-4f494e9394b7,2026-09-11T18:14:01.728209,Neha,neha@demo,4499.07,0.8279,1,1,17,0.2934,0,0,1,0,826,0,genuine,
41f77218-87da-4db4-9122-3eb1546a7014,2026-09-10T18:12:01.676807,Rahul,rahul@demo,493.08,0.3496,0,0,3,0.3411,0,0,0,0,905,0,genuine,
